time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-20T05:27:50.424+00:00,12615202,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:27:50.731+00:00,12615509,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:51.038+00:00,12615816,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:27:51.345+00:00,12616123,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:51.652+00:00,12616430,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:51.959+00:00,12616737,41.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:52.266+00:00,12617044,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:52.573+00:00,12617351,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:52.880+00:00,12617658,41.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:53.187+00:00,12617965,41.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:27:53.494+00:00,12618272,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:53.801+00:00,12618579,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:54.108+00:00,12618886,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:27:54.415+00:00,12619193,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:54.721+00:00,12619500,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:55.029+00:00,12619807,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:55.336+00:00,12620114,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:55.643+00:00,12620421,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:55.950+00:00,12620728,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:56.257+00:00,12621035,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:56.564+00:00,12621342,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:56.871+00:00,12621649,41.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:57.177+00:00,12621956,41.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:57.485+00:00,12622263,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:57.791+00:00,12622570,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:58.099+00:00,12622877,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:58.406+00:00,12623184,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:58.713+00:00,12623491,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:27:59.020+00:00,12623798,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:59.327+00:00,12624105,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:59.633+00:00,12624412,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:27:59.940+00:00,12624719,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:00.247+00:00,12625026,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:00.554+00:00,12625333,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:00.861+00:00,12625640,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:01.168+00:00,12625947,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:01.475+00:00,12626254,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:01.782+00:00,12626561,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:02.089+00:00,12626868,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:02.397+00:00,12627175,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:03.010+00:00,12627482,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:03.011+00:00,12627789,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:03.317+00:00,12628096,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:28:03.624+00:00,12628403,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:28:03.931+00:00,12628710,41.3,28.69,0.0,10,15.0,-35.5
