pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
2,9,134896,4.1692,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,135622,5.0255,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,136348,5.1382,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,137074,4.4621,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,137800,5.3410,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,138526,4.5748,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,139252,3.7635,40.6,29.61,-53.0,9,0.0,-35.5,1
2,9,139978,3.4029,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,140704,4.7100,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,141430,4.8002,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,142156,4.1917,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,142882,5.0255,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,143608,3.8537,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,144334,3.4706,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,145060,4.5523,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,145786,4.6424,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,146512,4.1241,40.6,29.61,-53.0,9,0.0,-35.5,1
2,9,147238,4.1241,39.6,29.61,-53.0,9,0.0,-35.5,1
2,9,147964,5.4312,39.6,29.61,-53.0,9,0.0,-35.5,1
2,9,148690,4.9354,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,149416,3.5607,40.6,29.62,-53.5,9,0.0,-35.5,1
2,9,150142,4.9354,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,150868,5.1833,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,151594,4.3720,40.6,29.61,-53.0,9,0.0,-35.5,1
2,9,152320,3.6508,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,153046,4.3945,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,153772,4.8453,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,154498,4.6199,40.6,29.61,-53.0,9,0.0,-35.5,1
2,9,155224,4.6199,40.6,29.61,-53.0,9,0.0,-35.5,1
2,9,155950,3.8537,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,156676,3.4255,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,157402,4.3720,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,158128,3.5832,40.6,29.61,-53.5,9,0.0,-35.5,1
