MAC: 9c:13:9e:f1:0a:a8
Uploading stub...
Running stub...
Stub running...
Changing baud rate to 921600
Changed.
Configuring flash size...
Flash will be erased from 0x00000000 to 0x00003fff...
Flash will be erased from 0x00008000 to 0x00008fff...
Flash will be erased from 0x0000e000 to 0x0000ffff...
Flash will be erased from 0x00010000 to 0x0005efff...
SHA digest in image updated
Compressed 15104 bytes to 10430...
Writing at 0x00000000... (100 %)
Wrote 15104 bytes (10430 compressed) at 0x00000000 in 0.2 seconds (effective 736.8 kbit/s)...
Hash of data verified.
Compressed 3072 bytes to 146...
Writing at 0x00008000... (100 %)
Wrote 3072 bytes (146 compressed) at 0x00008000 in 0.0 seconds (effective 855.9 kbit/s)...
Hash of data verified.
Compressed 8192 bytes to 47...
Writing at 0x0000e000... (100 %)
Wrote 8192 bytes (47 compressed) at 0x0000e000 in 0.1 seconds (effective 1127.4 kbit/s)...
Hash of data verified.
Compressed 322400 bytes to 180653...
Writing at 0x00010000... (8 %)
Writing at 0x0001bdcd... (16 %)
Writing at 0x00026fde... (25 %)
Writing at 0x0002c62c... (33 %)
Writing at 0x00032305... (41 %)
Writing at 0x00037bad... (50 %)
Writing at 0x0003db4c... (58 %)
Writing at 0x0004317c... (66 %)
Writing at 0x000484bf... (75 %)
Writing at 0x0004dc28... (83 %)
Writing at 0x00056f64... (91 %)
Writing at 0x0005e91f... (100 %)
Wrote 322400 bytes (180653 compressed) at 0x00010000 in 1.8 seconds (effective 1442.1 kbit/s)...
Hash of data verified.

Leaving...
Hard resetting via RTS pin...
=================================== [SUCCESS] Took 7.62 seconds ===================================

Environment    Status    Duration
-------------  --------  ------------
master         SUCCESS   00:00:07.616
=================================== 1 succeeded in 00:00:07.616 ===================================
[serial] Opening /dev/ttyACM2 at 115200
[serial] Waiting for first 500-sample stats line (~360 s)...
  326218,1.0367,39.6,27.39
  326940,0.9465,39.6,27.39
  327662,1.3522,39.6,27.39
  328384,0.4507,39.6,27.39
  329106,0.1578,39.6,27.39
  329828,0.6085,39.6,27.39
  330550,0.5859,39.6,27.39
  331272,0.9014,39.6,27.38
  331994,1.5550,39.6,27.38
  332716,0.6310,39.6,27.38
  333438,0.6310,39.6,27.38
  334160,0.2479,39.6,27.39
  334882,1.1493,39.6,27.39
  335604,0.4507,39.6,27.38
  336326,-0.1127,39.6,27.38
  337048,0.9916,39.6,27.38
  337770,0.5859,39.6,27.38
  338492,0.3155,39.6,27.38
  339214,0.6535,39.6,27.38
  339936,0.2254,39.6,27.38
  340658,0.6986,38.6,27.38
  341380,1.1944,39.6,27.38
  342102,0.9465,39.6,27.38
  342824,0.5859,39.6,27.38
  343546,-0.4282,39.6,27.38
  344268,0.5859,39.6,27.38
  344990,0.5859,39.6,27.39
  345712,0.4733,39.6,27.38
  346434,0.4733,39.6,27.39
  347156,0.6535,38.6,27.38
  347878,1.3522,38.6,27.38
  348600,0.5183,38.6,27.38
  349322,1.3747,38.6,27.38
  350044,1.3747,38.6,27.38
  350766,0.2930,38.6,27.38
  351488,0.4282,38.6,27.38
  352210,0.0676,38.6,27.39
  352932,0.7437,38.6,27.39
  353654,0.6761,39.6,27.39
  354376,1.3296,39.6,27.38
  355098,0.0225,39.6,27.39
  355820,1.3296,38.6,27.39
  356542,0.2028,39.6,27.38
  357264,0.8338,39.6,27.39
  357986,1.1944,39.6,27.39
  358708,1.3747,39.6,27.39
  359430,0.8564,39.6,27.39
  360152,1.3522,39.6,27.39
  360874,0.6535,39.6,27.39
  361596,-0.0676,39.6,27.39
  362318,1.2620,39.6,27.39
  363040,1.2620,39.6,27.39
  363762,0.4507,39.6,27.39
  364484,1.4874,40.6,27.39
  # [n=500] mean=0.6569 m  sigma=1.7406 m  die=40.6 C  CalVal=-0

>>> cal=13340  mean=0.6569 m  sigma=1.7406 m  error=-0.0381 m
    → next estimate: 13341

──────────────────────────────────────────────────────────────
  Iteration 8/15   CAL = 13341
──────────────────────────────────────────────────────────────
[fw]  CAL_TABLE[2][4] = 13341
[flash] /home/rooster/.local/bin/pio run -e master -t upload --upload-port=/dev/ttyACM2
Processing master (platform: espressif32; board: esp32-s3-devkitc-1; framework: arduino)
---------------------------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/espressif32/esp32-s3-devkitc-1.html
PLATFORM: Espressif 32 (7.0.1) > Espressif ESP32-S3-DevKitC-1-N8 (8 MB QD, No PSRAM)
HARDWARE: ESP32S3 240MHz, 320KB RAM, 8MB Flash
