--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
178056,-6.7383,27.3,16.96
178777,-7.5496,27.3,16.94
179498,-7.8425,28.3,16.92
180219,-7.3918,26.3,16.90
180940,-6.9862,27.3,16.89
181661,-7.1665,26.3,16.88
182382,-7.1214,26.3,16.86
183103,-7.1214,26.3,16.84
183824,-7.1214,26.3,16.83
184545,-7.1214,26.3,16.81
185266,-7.1214,26.3,16.80
185987,-7.1214,26.3,16.78
186708,-7.1214,26.3,16.77
187429,-7.1214,26.3,16.75
188150,-7.1214,26.3,16.73
188871,-7.1214,26.3,16.71
189592,-7.1214,26.3,16.70
190313,-7.1214,26.3,16.69
191034,-7.1214,26.3,16.67
191755,-7.1214,26.3,16.66
192476,-7.1214,26.3,16.64
193197,-7.1214,26.3,16.62
193918,-7.1214,26.3,16.61
194639,-7.1214,27.3,16.60
195360,-7.1214,26.3,16.58
196081,-7.1214,26.3,16.57
196802,-7.1214,25.3,16.55
197523,-7.1214,25.3,16.53
198244,-7.1214,26.3,16.51
198965,-7.0087,26.3,16.50
199686,-6.6707,26.3,16.49
200407,-6.6256,25.3,16.47
201128,-6.7608,25.3,16.46
201849,-7.5947,26.3,16.45
202570,-6.9862,25.3,16.43
203291,-6.9862,25.3,16.41
204012,-6.6031,26.3,16.40
204733,-6.6707,26.3,16.39
205454,-7.6848,26.3,16.37
206175,-6.8735,26.3,16.36
206896,-7.6397,26.3,16.34
207617,-7.2566,26.3,16.33
208338,-7.0087,27.3,16.32
209059,-6.6256,27.3,16.30
209780,-6.6256,26.3,16.28
210501,-6.6256,26.3,16.27
211222,-6.6256,26.3,16.26
211943,-6.6256,26.3,16.24
212664,-6.6256,26.3,16.22
213385,-6.6256,26.3,16.21
214106,-6.6256,26.3,16.19
214827,-6.6256,26.3,16.18
215548,-6.6256,25.3,16.17
216269,-6.6256,26.3,16.15
216990,-6.6256,26.3,16.14
217711,-6.6256,26.3,16.13
218432,-6.6256,25.3,16.11
219153,-6.6256,26.3,16.10
# [n=300] mean=-7.3397 m  sigma=1.4466 m  die=26.3 C  CalVal=-45
219874,-6.6256,25.3,16.08
220595,-6.6256,26.3,16.07
221316,-6.6256,26.3,16.06
222037,-6.6256,26.3,16.04
222758,-6.6256,26.3,16.03
223479,-6.6256,26.3,16.02
224200,-6.6256,27.3,16.00
224921,-6.6256,27.3,15.99
225642,-7.4820,26.3,15.97
226363,-7.0538,26.3,15.96
227084,-6.6707,26.3,15.95
227805,-6.7834,26.3,15.93
228526,-6.6707,27.3,15.92
229247,-7.5270,26.3,15.91
229968,-7.1439,25.3,15.90
230689,-6.4678,25.3,15.87
231410,-7.1665,26.3,15.86
232131,-6.8960,26.3,15.85
232852,-6.9636,26.3,15.84
233573,-6.8059,26.3,15.82
234294,-6.9636,27.3,15.81
235015,-7.1214,26.3,15.80
235736,-7.3468,26.3,15.79
236457,-7.3468,26.3,15.78
237178,-7.3468,26.3,15.76
237899,-7.3468,25.3,15.75
238620,-7.3468,26.3,15.74
239341,-7.3468,26.3,15.72
240062,-7.3468,26.3,15.71
240783,-7.3468,26.3,15.69
241504,-7.3468,26.3,15.69
242225,-7.3468,26.3,15.68
242946,-7.3468,26.3,15.66
243667,-7.3468,26.3,15.65
244388,-7.3468,27.3,15.63
245109,-7.3468,27.3,15.62
245830,-7.3468,26.3,15.61
246551,-7.3468,26.3,15.59
247272,-7.3468,25.3,15.58
247993,-7.3468,26.3,15.57
248714,-7.3468,26.3,15.56
249435,-7.3468,25.3,15.55
250156,-7.3468,25.3,15.53
250877,-7.3468,25.3,15.52
251598,-7.3468,26.3,15.51
252319,-6.1523,25.3,15.49
253040,-6.2650,26.3,15.48
253761,-6.1523,25.3,15.47
254482,-7.2115,26.3,15.46
255203,-6.4678,25.3,15.45
255924,-7.0763,24.3,15.43
256645,-6.8735,25.3,15.42
257366,-6.6932,25.3,15.41
258087,-7.0312,25.3,15.40
258808,-7.0989,25.3,15.38
259529,-6.6932,25.3,15.38
260250,-7.0763,25.3,15.36
260971,-7.1439,25.3,15.35
261692,-7.1214,25.3,15.34
262413,-7.5947,24.3,15.32
263134,-7.5947,25.3,15.31
263855,-7.5947,25.3,15.30
264576,-7.5947,25.3,15.29
265297,-7.5947,25.3,15.28
266018,-7.5947,26.3,15.27
266739,-7.5947,25.3,15.26
267460,-7.5947,24.3,15.24
268181,-7.5947,25.3,15.22
268902,-7.5947,25.3,15.21
269623,-7.5947,26.3,15.20
270344,-7.5947,26.3,15.19
271065,-7.5947,25.3,15.18
271786,-7.5947,24.3,15.17
272507,-7.5947,25.3,15.16
273228,-7.5947,25.3,15.14
273949,-7.5947,26.3,15.13
274670,-7.5947,26.3,15.13
275391,-7.5947,25.3,15.11
276112,-7.5947,25.3,15.09
276833,-7.5947,25.3,15.08
277554,-7.5947,25.3,15.08
278275,-7.5947,26.3,15.06
278996,-6.4453,26.3,15.05
279717,-6.8960,26.3,15.04
280438,-6.0847,26.3,15.03
281159,-6.9862,26.3,15.02
281880,-6.1749,26.3,15.01
282601,-5.9721,25.3,15.00
283322,-6.5129,26.3,14.98
284043,-6.8059,25.3,14.96
284764,-7.1214,25.3,14.96
285485,-6.8284,26.3,14.95
286206,-7.1665,25.3,14.94
286927,-5.9044,24.3,14.92
287648,-6.4904,25.3,14.91
288369,-7.1214,25.3,14.89
289090,-6.1073,25.3,14.88
289811,-6.1073,26.3,14.87
290532,-6.1073,26.3,14.86
291253,-6.1073,26.3,14.85
# [n=400] mean=-7.2707 m  sigma=1.2814 m  die=26.3 C  CalVal=-44
291974,-6.1073,25.3,14.84
292695,-6.1073,25.3,14.83
293416,-6.1073,25.3,14.82
294137,-6.1073,25.3,14.80
294858,-6.1073,24.3,14.79
295579,-6.1073,24.3,14.78
296300,-6.1073,24.3,14.77
297021,-6.1073,24.3,14.76
297742,-6.1073,24.3,14.75
298463,-6.1073,23.3,14.74
299184,-6.1073,23.3,14.73
299905,-6.1073,25.3,14.72
300626,-6.1073,24.3,14.70
301347,-6.1073,23.3,14.69
302068,-6.1073,25.3,14.68
302789,-6.1073,25.3,14.67
303510,-6.1073,24.3,14.66
304231,-6.1073,25.3,14.65
304952,-6.1073,24.3,14.63
305673,-7.7299,25.3,14.63
306394,-6.5129,24.3,14.62
307115,-6.1523,24.3,14.61
307836,-6.2876,24.3,14.59
308557,-6.3101,24.3,14.58
309278,-6.5805,25.3,14.57
309999,-6.4228,24.3,14.56
310720,-6.3326,23.3,14.55
311441,-5.7918,23.3,14.54
312162,-6.5129,24.3,14.53
312883,-7.0989,25.3,14.52
313604,-6.7608,24.3,14.50
314325,-6.7157,25.3,14.49
315046,-7.1890,25.3,14.49
315767,-6.4228,26.3,14.47
316488,-6.4228,25.3,14.47
317209,-6.4228,25.3,14.46
317930,-6.4228,24.3,14.44
318651,-6.4228,24.3,14.43
319372,-6.4228,23.3,14.42
320093,-6.4228,24.3,14.41
320814,-6.4228,24.3,14.40
321535,-6.4228,23.3,14.39
322256,-6.4228,24.3,14.38
322977,-6.4228,24.3,14.37
323698,-6.4228,23.3,14.36
324419,-6.4228,23.3,14.35
325140,-6.4228,24.3,14.34
325861,-6.4228,24.3,14.33
326582,-6.4228,23.3,14.31
327303,-6.4228,24.3,14.30
328024,-6.4228,24.3,14.29
328745,-6.4228,25.3,14.28
329466,-6.4228,25.3,14.27
330187,-6.4228,25.3,14.26
330908,-6.4228,26.3,14.25
331629,-6.4228,26.3,14.24
332350,-7.0087,25.3,14.23
333071,-5.7242,25.3,14.21
333792,-6.4453,24.3,14.21
334513,-5.3185,25.3,14.20
335234,-6.8059,24.3,14.19
335955,-6.5805,23.3,14.18
336676,-4.9129,24.3,14.17
337397,-6.3777,25.3,14.16
338118,-6.8960,25.3,14.15
338839,-5.2058,24.3,14.14
339560,-6.5129,24.3,14.13
340281,-7.1665,25.3,14.12
341002,-6.3777,24.3,14.10
341723,-6.7834,24.3,14.09
342444,-7.2791,24.3,14.09
343165,-7.2791,25.3,14.07
343886,-7.2791,25.3,14.07
344607,-7.2791,24.3,14.05
345328,-7.2791,24.3,14.05
346049,-7.2791,24.3,14.04
346770,-7.2791,24.3,14.03
347491,-7.2791,24.3,14.02
348212,-7.2791,25.3,14.01
348933,-7.2791,24.3,14.00
349654,-7.2791,25.3,13.99
350375,-7.2791,25.3,13.98
