--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
3697978,-3.0874,45.3,37.04
3698699,-2.5015,45.3,37.04
3699420,-4.0114,45.3,37.05
3700141,-2.7719,45.3,37.05
3700862,-2.7719,45.3,37.06
3701583,-2.7719,45.3,37.06
3702304,-2.7719,45.3,37.07
3703025,-2.7719,45.3,37.08
3703746,-2.7719,45.3,37.08
3704467,-2.7719,46.3,37.09
3705188,-2.7719,45.3,37.09
3705909,-2.7719,45.3,37.09
3706630,-2.7719,46.3,37.10
3707351,-2.7719,46.3,37.11
3708072,-2.7719,46.3,37.11
3708793,-2.7719,45.3,37.11
3709514,-2.7719,46.3,37.12
3710235,-2.7719,46.3,37.13
3710956,-2.7719,46.3,37.13
3711677,-2.7719,46.3,37.14
# [n=5100] mean=-6.4698 m  sigma=1.6651 m  die=46.3 C  CalVal=-40
3712398,-2.7719,46.3,37.14
3713119,-2.7719,46.3,37.15
3713840,-2.7719,46.3,37.15
3714561,-2.7719,46.3,37.16
3715282,-2.7719,46.3,37.16
3716003,-3.0198,45.3,37.17
3716724,-2.2085,45.3,37.17
3717445,-2.4564,45.3,37.18
3718166,-2.6367,45.3,37.18
3718887,-3.2452,46.3,37.19
3719608,-2.5240,46.3,37.19
3720329,-4.1917,45.3,37.20
3721050,-2.4564,45.3,37.20
3721771,-2.8621,45.3,37.21
3722492,-3.3128,45.3,37.22
3723213,-2.5466,46.3,37.22
3723934,-3.5156,46.3,37.22
3724655,-3.0649,46.3,37.23
3725376,-2.4339,45.3,37.23
3726097,-2.6367,45.3,37.24
# outlier -24.1136 die=45.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=45.3
# outlier -24.1136 die=46.3
# outlier -24.1136 die=45.3
3742680,-2.7945,45.3,37.36
3743401,-3.8086,45.3,37.36
3744122,-2.7719,45.3,37.37
3744843,-3.0424,46.3,37.37
3745564,-3.4480,46.3,37.38
3746285,-3.8762,46.3,37.38
3747006,-2.6367,46.3,37.39
3747727,-3.4480,46.3,37.40
3748448,-3.3353,46.3,37.40
3749169,-4.0790,45.3,37.41
3749890,-3.9663,45.3,37.41
3750611,-3.2227,45.3,37.42
3751332,-3.2903,45.3,37.42
3752053,-2.9973,45.3,37.43
3752774,-3.1776,46.3,37.43
3753495,-3.1776,46.3,37.44
3754216,-3.1776,45.3,37.44
3754937,-3.1776,45.3,37.45
3755658,-3.1776,46.3,37.45
3756379,-3.1776,46.3,37.46
3757100,-3.1776,46.3,37.46
3757821,-3.1776,46.3,37.47
3758542,-3.1776,46.3,37.47
3759263,-3.1776,45.3,37.47
3759984,-3.1776,46.3,37.48
3760705,-3.1776,46.3,37.49
3761426,-3.1776,46.3,37.49
3762147,-3.1776,46.3,37.49
3762868,-3.1776,46.3,37.50
3763589,-3.1776,46.3,37.50
3764310,-3.1776,46.3,37.51
3765031,-3.1776,46.3,37.52
3765752,-3.1776,46.3,37.51
3766473,-3.1776,46.3,37.52
3767194,-3.1776,46.3,37.52
3767915,-3.1776,46.3,37.53
3768636,-3.1776,46.3,37.54
3769357,-2.7043,46.3,37.54
3770078,-2.7269,45.3,37.54
3770799,-3.5832,46.3,37.55
3771520,-3.9213,46.3,37.55
3772241,-3.0649,46.3,37.56
3772962,-3.6508,46.3,37.56
3773683,-3.6058,46.3,37.57
3774404,-2.8846,46.3,37.57
3775125,-3.1550,46.3,37.57
3775846,-3.6283,46.3,37.58
3776567,-4.4621,46.3,37.58
3777288,-4.1692,45.3,37.59
3778009,-2.7719,46.3,37.59
3778730,-3.7184,46.3,37.60
3779451,-2.9748,46.3,37.60
3780172,-2.9748,46.3,37.61
3780893,-2.9748,46.3,37.62
3781614,-2.9748,46.3,37.62
3782335,-2.9748,46.3,37.63
3783056,-2.9748,46.3,37.63
3783777,-2.9748,46.3,37.63
3784498,-2.9748,46.3,37.64
3785219,-2.9748,46.3,37.65
3785940,-2.9748,46.3,37.65
3786661,-2.9748,46.3,37.65
3787382,-2.9748,46.3,37.66
3788103,-2.9748,46.3,37.66
3788824,-2.9748,46.3,37.67
3789545,-2.9748,46.3,37.68
3790266,-2.9748,46.3,37.68
3790987,-2.9748,46.3,37.69
3791708,-2.9748,46.3,37.69
3792429,-2.9748,46.3,37.69
3793150,-2.9748,46.3,37.70
3793871,-2.9748,46.3,37.70
3794592,-2.9748,46.3,37.71
3795313,-2.9748,46.3,37.71
3796034,-2.8170,46.3,37.71
3796755,-3.7861,46.3,37.72
3797476,-2.7945,46.3,37.73
3798197,-3.6283,46.3,37.73
3798918,-3.7861,46.3,37.74
3799639,-4.0790,46.3,37.74
# [n=5200] mean=-6.4058 m  sigma=1.7122 m  die=46.3 C  CalVal=-39
3800360,-3.2677,46.3,37.74
3801081,-3.4029,46.3,37.75
3801802,-2.9072,46.3,37.75
3802523,-3.6508,46.3,37.75
3803244,-4.1241,46.3,37.76
3803965,-2.9748,46.3,37.77
3804686,-3.1325,46.3,37.76
3805407,-3.2227,46.3,37.78
3806128,-3.2903,46.3,37.78
3806849,-3.2903,47.3,37.78
3807570,-3.2903,47.3,37.79
3808291,-3.2903,47.3,37.79
3809012,-3.2903,46.3,37.80
3809733,-3.2903,46.3,37.80
3810454,-3.2903,46.3,37.80
3811175,-3.2903,46.3,37.81
3811896,-3.2903,46.3,37.82
3812617,-3.2903,46.3,37.82
3813338,-3.2903,46.3,37.82
3814059,-3.2903,46.3,37.83
3814780,-3.2903,46.3,37.83
3815501,-3.2903,46.3,37.84
3816222,-3.2903,46.3,37.84
3816943,-3.2903,46.3,37.85
3817664,-3.2903,46.3,37.85
3818385,-3.2903,46.3,37.85
3819106,-3.2903,47.3,37.86
3819827,-3.2903,46.3,37.87
3820548,-3.2903,47.3,37.87
3821269,-3.2903,47.3,37.88
3821990,-3.2903,46.3,37.88
3822711,-3.2227,47.3,37.89
3823432,-2.9522,47.3,37.89
3824153,-3.2452,47.3,37.89
3824874,-3.0198,47.3,37.89
3825595,-2.9522,47.3,37.90
3826316,-4.0114,46.3,37.91
3827037,-3.3128,47.3,37.91
3827758,-3.6734,47.3,37.91
3828479,-3.6508,46.3,37.92
3829200,-3.2452,46.3,37.92
3829921,-4.0565,46.3,37.93
3830642,-3.9663,46.3,37.93
3831363,-4.0114,46.3,37.93
3832084,-3.5607,46.3,37.94
3832805,-4.3495,46.3,37.95
3833526,-4.3495,46.3,37.95
3834247,-4.3495,46.3,37.95
3834968,-4.3495,46.3,37.96
3835689,-4.3495,46.3,37.96
3836410,-4.3495,46.3,37.97
3837131,-4.3495,46.3,37.97
3837852,-4.3495,46.3,37.97
3838573,-4.3495,47.3,37.98
3839294,-4.3495,47.3,37.98
3840015,-4.3495,46.3,37.99
3840736,-4.3495,46.3,38.00
3841457,-4.3495,46.3,38.00
3842178,-4.3495,46.3,38.00
3842899,-4.3495,46.3,38.01
3843620,-4.3495,47.3,38.01
3844341,-4.3495,47.3,38.01
3845062,-4.3495,47.3,38.02
3845783,-4.3495,46.3,38.02
3846504,-4.3495,46.3,38.03
3847225,-4.3495,46.3,38.04
3847946,-4.3495,46.3,38.04
3848667,-4.3495,46.3,38.04
3849388,-3.3353,46.3,38.05
3850109,-3.7184,46.3,38.05
3850830,-3.8987,46.3,38.05
3851551,-3.6959,47.3,38.05
3852272,-3.6734,47.3,38.06
3852993,-5.1157,47.3,38.06
3853714,-4.6424,47.3,38.07
3854435,-5.1833,47.3,38.07
3855156,-4.9805,47.3,38.07
3855877,-4.9579,47.3,38.08
3856598,-5.3185,47.3,38.08
3857319,-4.1692,46.3,38.09
3858040,-5.0255,47.3,38.09
3858761,-4.0114,47.3,38.10
3859482,-5.4988,47.3,38.09
3860203,-5.4988,46.3,38.10
3860924,-5.4988,47.3,38.10
3861645,-5.4988,47.3,38.11
3862366,-5.4988,46.3,38.11
3863087,-5.4988,47.3,38.12
3863808,-5.4988,47.3,38.12
3864529,-5.4988,47.3,38.12
3865250,-5.4988,47.3,38.13
3865971,-5.4988,47.3,38.13
3866692,-5.4988,47.3,38.14
3867413,-5.4988,47.3,38.14
3868134,-5.4988,47.3,38.14
3868855,-5.4988,47.3,38.15
3869576,-5.4988,47.3,38.15
3870297,-5.4988,47.3,38.15
3871018,-5.4988,47.3,38.16
3871739,-5.4988,47.3,38.16
# [n=5300] mean=-6.3627 m  sigma=1.7282 m  die=47.3 C  CalVal=-39
3872460,-5.4988,47.3,38.17
3873181,-5.4988,47.3,38.17
3873902,-5.4988,47.3,38.17
3874623,-5.4988,47.3,38.18
3875344,-5.4988,47.3,38.18
3876065,-3.6058,47.3,38.18
3876786,-4.9805,47.3,38.19
3877507,-5.2058,47.3,38.19
3878228,-4.6199,47.3,38.19
3878949,-4.3720,47.3,38.20
3879670,-5.0706,47.3,38.20
3880391,-4.6199,47.3,38.21
3881112,-4.0340,47.3,38.21
3881833,-4.9805,47.3,38.22
3882554,-5.4537,47.3,38.22
3883275,-5.0030,47.3,38.23
3883996,-3.8537,47.3,38.23
3884717,-4.7326,46.3,38.23
3885438,-4.6424,47.3,38.23
3886159,-4.0565,47.3,38.24
3886880,-4.0565,47.3,38.24
3887601,-4.0565,47.3,38.24
3888322,-4.0565,46.3,38.25
3889043,-4.0565,47.3,38.26
3889764,-4.0565,47.3,38.26
3890485,-4.0565,47.3,38.27
3891206,-4.0565,47.3,38.27
3891927,-4.0565,47.3,38.27
3892648,-4.0565,47.3,38.28
3893369,-4.0565,47.3,38.28
3894090,-4.0565,47.3,38.29
3894811,-4.0565,47.3,38.30
3895532,-4.0565,47.3,38.30
3896253,-4.0565,47.3,38.30
3896974,-4.0565,47.3,38.30
3897695,-4.0565,47.3,38.30
3898416,-4.0565,47.3,38.31
3899137,-4.0565,47.3,38.31
3899858,-4.0565,47.3,38.32
3900579,-4.0565,47.3,38.32
3901300,-4.0565,47.3,38.33
3902021,-4.0565,47.3,38.33
3902742,-3.5382,47.3,38.33
3903463,-4.1016,47.3,38.33
3904184,-2.9297,47.3,38.34
3904905,-4.2593,47.3,38.34
3905626,-3.6508,47.3,38.35
3906347,-3.4706,47.3,38.35
3907068,-3.9213,47.3,38.36
3907789,-3.5832,47.3,38.35
3908510,-3.2903,47.3,38.36
3909231,-3.9213,47.3,38.36
3909952,-3.4480,47.3,38.37
3910673,-3.5832,47.3,38.37
3911394,-3.4931,47.3,38.37
3912115,-4.3495,47.3,38.38
3912836,-2.8170,47.3,38.38
3913557,-2.8170,47.3,38.39
3914278,-2.8170,47.3,38.39
3914999,-2.8170,47.3,38.39
3915720,-2.8170,47.3,38.39
3916441,-2.8170,47.3,38.40
3917162,-2.8170,46.3,38.40
3917883,-2.8170,46.3,38.41
3918604,-2.8170,46.3,38.41
3919325,-2.8170,46.3,38.42
3920046,-2.8170,47.3,38.42
3920767,-2.8170,47.3,38.42
3921488,-2.8170,47.3,38.43
3922209,-2.8170,47.3,38.42
3922930,-2.8170,47.3,38.43
3923651,-2.8170,47.3,38.44
3924372,-2.8170,47.3,38.44
3925093,-2.8170,47.3,38.44
3925814,-2.8170,48.3,38.45
3926535,-2.8170,47.3,38.45
3927256,-2.8170,47.3,38.45
3927977,-2.8170,47.3,38.46
3928698,-2.8170,47.3,38.46
3929419,-3.8311,47.3,38.47
3930140,-3.7410,47.3,38.47
3930861,-3.3128,47.3,38.47
3931582,-3.4029,47.3,38.47
3932303,-3.3128,47.3,38.48
3933024,-3.3579,47.3,38.48
3933745,-3.4706,47.3,38.48
3934466,-3.6959,47.3,38.49
3935187,-3.8987,47.3,38.49
3935908,-2.7719,47.3,38.50
3936629,-3.3579,47.3,38.50
3937350,-3.4255,47.3,38.50
3938071,-3.2452,47.3,38.50
3938792,-3.4480,47.3,38.51
3939513,-2.8621,47.3,38.51
3940234,-2.8621,47.3,38.51
3940955,-2.8621,47.3,38.51
3941676,-2.8621,48.3,38.52
3942397,-2.8621,48.3,38.52
3943118,-2.8621,47.3,38.53
3943839,-2.8621,47.3,38.53
# [n=5400] mean=-6.3135 m  sigma=1.7525 m  die=47.3 C  CalVal=-39
3944560,-2.8621,47.3,38.54
3945281,-2.8621,47.3,38.54
3946002,-2.8621,48.3,38.54
3946723,-2.8621,47.3,38.54
3947444,-2.8621,47.3,38.55
3948165,-2.8621,47.3,38.55
3948886,-2.8621,47.3,38.55
3949607,-2.8621,47.3,38.56
3950328,-2.8621,47.3,38.56
3951049,-2.8621,47.3,38.57
3951770,-2.8621,47.3,38.57
3952491,-2.8621,47.3,38.58
3953212,-2.8621,47.3,38.58
3953933,-2.8621,47.3,38.59
3954654,-2.8621,47.3,38.59
3955375,-2.8621,47.3,38.59
3956096,-3.3579,46.3,38.60
3956817,-3.4480,46.3,38.60
3957538,-3.5832,47.3,38.61
3958259,-3.2452,47.3,38.61
3958980,-2.6142,47.3,38.61
3959701,-3.1776,47.3,38.62
3960422,-3.2677,48.3,38.62
3961143,-3.4480,48.3,38.62
3961864,-3.7410,48.3,38.62
3962585,-3.8086,48.3,38.63
3963306,-4.6424,47.3,38.63
3964027,-2.9072,47.3,38.64
3964748,-3.2677,47.3,38.64
3965469,-2.9297,47.3,38.64
3966190,-3.6734,48.3,38.64
3966911,-3.6734,48.3,38.64
3967632,-3.6734,47.3,38.65
3968353,-3.6734,48.3,38.65
3969074,-3.6734,47.3,38.66
3969795,-3.6734,48.3,38.66
3970516,-3.6734,48.3,38.66
3971237,-3.6734,47.3,38.67
3971958,-3.6734,47.3,38.67
3972679,-3.6734,47.3,38.67
3973400,-3.6734,47.3,38.67
3974121,-3.6734,47.3,38.68
3974842,-3.6734,48.3,38.68
3975563,-3.6734,48.3,38.68
3976284,-3.6734,48.3,38.69
3977005,-3.6734,48.3,38.69
3977726,-3.6734,48.3,38.70
3978447,-3.6734,48.3,38.70
3979168,-3.6734,48.3,38.70
3979889,-3.6734,48.3,38.71
3980610,-3.6734,48.3,38.71
3981331,-3.6734,48.3,38.71
3982052,-3.6734,48.3,38.71
3982773,-3.2227,47.3,38.72
3983494,-2.6367,47.3,38.72
3984215,-4.2368,47.3,38.72
3984936,-3.5382,47.3,38.73
3985657,-3.4706,48.3,38.73
3986378,-4.2368,48.3,38.73
3987099,-3.4029,48.3,38.74
3987820,-3.5607,48.3,38.74
3988541,-2.5466,47.3,38.74
3989262,-3.3353,47.3,38.74
3989983,-3.7861,48.3,38.75
3990704,-3.7861,47.3,38.75
3991425,-3.6734,47.3,38.75
3992146,-2.9973,48.3,38.75
3992867,-3.4931,48.3,38.76
3993588,-3.4931,48.3,38.77
3994309,-3.4931,48.3,38.76
3995030,-3.4931,47.3,38.77
3995751,-3.4931,47.3,38.77
3996472,-3.4931,47.3,38.77
3997193,-3.4931,47.3,38.78
3997914,-3.4931,47.3,38.78
3998635,-3.4931,47.3,38.78
3999356,-3.4931,48.3,38.78
4000077,-3.4931,48.3,38.79
4000798,-3.4931,48.3,38.79
4001519,-3.4931,48.3,38.79
4002240,-3.4931,48.3,38.79
4002961,-3.4931,48.3,38.79
4003682,-3.4931,48.3,38.80
4004403,-3.4931,48.3,38.81
4005124,-3.4931,48.3,38.80
4005845,-3.4931,48.3,38.81
4006566,-3.4931,48.3,38.81
4007287,-3.4931,48.3,38.82
4008008,-3.4931,47.3,38.82
4008729,-3.4931,47.3,38.82
4009450,-3.9663,48.3,38.83
4010171,-4.1692,48.3,38.83
4010892,-3.9438,48.3,38.83
4011613,-3.6283,48.3,38.83
4012334,-3.6058,48.3,38.83
4013055,-3.0874,48.3,38.84
4013776,-3.8086,47.3,38.84
4014497,-4.0114,48.3,38.85
4015218,-3.8537,48.3,38.84
4015939,-3.4480,48.3,38.85
# [n=5500] mean=-6.2612 m  sigma=1.7792 m  die=48.3 C  CalVal=-39
4016660,-4.2368,48.3,38.85
4017381,-3.5382,48.3,38.85
4018102,-4.5297,47.3,38.85
4018823,-3.9889,48.3,38.86
4019544,-3.2001,48.3,38.86
4020265,-3.2001,48.3,38.86
4020986,-3.2001,48.3,38.87
4021707,-3.2001,48.3,38.87
4022428,-3.2001,48.3,38.87
4023149,-3.2001,47.3,38.88
4023870,-3.2001,48.3,38.88
4024591,-3.2001,48.3,38.88
4025312,-3.2001,48.3,38.88
4026033,-3.2001,47.3,38.89
4026754,-3.2001,47.3,38.89
4027475,-3.2001,48.3,38.89
4028196,-3.2001,47.3,38.90
4028917,-3.2001,48.3,38.90
4029638,-3.2001,48.3,38.90
4030359,-3.2001,48.3,38.90
4031080,-3.2001,48.3,38.90
4031801,-3.2001,48.3,38.91
4032522,-3.2001,48.3,38.91
4033243,-3.2001,48.3,38.92
4033964,-3.2001,48.3,38.92
4034685,-3.2001,48.3,38.92
4035406,-3.2001,47.3,38.92
4036127,-2.8395,48.3,38.93
4036848,-3.1776,47.3,38.93
4037569,-4.6875,47.3,38.93
4038290,-3.7410,47.3,38.94
4039011,-3.5156,47.3,38.94
4039732,-3.3579,47.3,38.94
4040453,-4.1466,48.3,38.94
4041174,-3.9663,48.3,38.94
4041895,-4.8453,48.3,38.95
4042616,-4.1466,48.3,38.95
4043337,-3.6959,48.3,38.95
4044058,-4.1241,47.3,38.96
4044779,-3.2001,47.3,38.96
4045500,-2.6142,48.3,38.96
4046221,-3.8987,48.3,38.97
4046942,-3.8987,48.3,38.97
4047663,-3.8987,47.3,38.97
4048384,-3.8987,48.3,38.98
4049105,-3.8987,48.3,38.98
4049826,-3.8987,48.3,38.98
4050547,-3.8987,48.3,38.98
4051268,-3.8987,48.3,38.99
4051989,-3.8987,48.3,38.99
4052710,-3.8987,48.3,38.99
4053431,-3.8987,48.3,38.99
4054152,-3.8987,48.3,38.99
4054873,-3.8987,48.3,39.00
4055594,-3.8987,48.3,39.00
4056315,-3.8987,48.3,39.00
4057036,-3.8987,48.3,39.01
4057757,-3.8987,47.3,39.00
4058478,-3.8987,48.3,39.01
4059199,-3.8987,48.3,39.01
4059920,-3.8987,48.3,39.02
4060641,-3.8987,48.3,39.02
4061362,-3.8987,48.3,39.02
4062083,-3.8987,48.3,39.02
4062804,-3.2227,48.3,39.03
4063525,-4.0565,48.3,39.03
4064246,-3.8762,48.3,39.04
4064967,-3.8987,48.3,39.04
4065688,-3.1550,48.3,39.04
4066409,-2.5240,48.3,39.04
4067130,-4.0565,48.3,39.05
4067851,-3.0424,48.3,39.05
4068572,-3.6283,48.3,39.05
4069293,-3.9663,48.3,39.05
4070014,-2.8170,48.3,39.06
4070735,-3.6283,48.3,39.06
4071456,-3.7184,48.3,39.06
4072177,-2.9072,48.3,39.07
4072898,-3.7410,47.3,39.06
4073619,-3.7410,48.3,39.07
4074340,-3.7410,48.3,39.07
4075061,-3.7410,48.3,39.07
4075782,-3.7410,48.3,39.07
4076503,-3.7410,48.3,39.08
4077224,-3.7410,48.3,39.08
4077945,-3.7410,48.3,39.08
4078666,-3.7410,48.3,39.09
4079387,-3.7410,48.3,39.09
4080108,-3.7410,48.3,39.09
4080829,-3.7410,47.3,39.09
4081550,-3.7410,48.3,39.10
4082271,-3.7410,48.3,39.10
4082992,-3.7410,48.3,39.10
4083713,-3.7410,48.3,39.10
4084434,-3.7410,48.3,39.10
4085155,-3.7410,48.3,39.11
4085876,-3.7410,48.3,39.11
4086597,-3.7410,48.3,39.11
4087318,-3.7410,48.3,39.11
4088039,-3.7410,48.3,39.12
# [n=5600] mean=-6.2142 m  sigma=1.7983 m  die=48.3 C  CalVal=-38
4088760,-3.7410,48.3,39.12
4089481,-3.0198,48.3,39.12
4090202,-3.3353,48.3,39.12
4090923,-3.3353,48.3,39.13
4091644,-4.6424,48.3,39.13
4092365,-3.7635,48.3,39.13
4093086,-4.1016,48.3,39.14
4093807,-4.8678,48.3,39.14
4094528,-3.6508,48.3,39.15
4095249,-3.2903,48.3,39.15
4095970,-3.3804,48.3,39.15
4096691,-3.4706,48.3,39.15
4097412,-3.7184,48.3,39.15
4098133,-3.5832,48.3,39.15
4098854,-2.5466,48.3,39.16
4099575,-3.9663,48.3,39.16
4100296,-3.9663,48.3,39.16
4101017,-3.9663,48.3,39.16
4101738,-3.9663,48.3,39.16
4102459,-3.9663,48.3,39.17
4103180,-3.9663,48.3,39.17
4103901,-3.9663,48.3,39.18
4104622,-3.9663,48.3,39.18
4105343,-3.9663,48.3,39.18
4106064,-3.9663,48.3,39.18
4106785,-3.9663,48.3,39.18
4107506,-3.9663,48.3,39.19
4108227,-3.9663,47.3,39.19
4108948,-3.9663,48.3,39.19
4109669,-3.9663,48.3,39.19
4110390,-3.9663,48.3,39.20
4111111,-3.9663,48.3,39.20
4111832,-3.9663,48.3,39.20
4112553,-3.9663,48.3,39.21
4113274,-3.9663,48.3,39.21
4113995,-3.9663,48.3,39.21
4114716,-3.9663,48.3,39.21
4115437,-3.9663,48.3,39.22
4116158,-3.6734,48.3,39.21
4116879,-4.4396,48.3,39.22
4117600,-4.1016,48.3,39.22
4118321,-4.2593,48.3,39.22
4119042,-4.5748,48.3,39.23
4119763,-3.9889,48.3,39.23
4120484,-3.2452,48.3,39.23
4121205,-4.6875,48.3,39.24
4121926,-3.3579,48.3,39.24
4122647,-3.2452,48.3,39.24
4123368,-3.3353,48.3,39.25
4124089,-3.5382,48.3,39.25
4124810,-3.7410,48.3,39.25
4125531,-3.7184,48.3,39.26
4126252,-3.9663,48.3,39.26
4126973,-3.9663,48.3,39.25
4127694,-3.9663,48.3,39.26
4128415,-3.9663,48.3,39.26
4129136,-3.9663,48.3,39.26
4129857,-3.9663,48.3,39.26
4130578,-3.9663,48.3,39.26
4131299,-3.9663,48.3,39.26
4132020,-3.9663,48.3,39.26
4132741,-3.9663,48.3,39.27
4133462,-3.9663,48.3,39.27
4134183,-3.9663,48.3,39.27
4134904,-3.9663,48.3,39.27
4135625,-3.9663,48.3,39.27
4136346,-3.9663,48.3,39.27
4137067,-3.9663,48.3,39.27
4137788,-3.9663,48.3,39.27
4138509,-3.9663,48.3,39.27
4139230,-3.9663,48.3,39.28
4139951,-3.9663,48.3,39.28
4140672,-3.9663,48.3,39.27
4141393,-3.9663,48.3,39.27
4142114,-3.9663,48.3,39.28
4142835,-4.0114,48.3,39.28
4143556,-3.5607,48.3,39.27
4144277,-3.4931,48.3,39.28
4144998,-3.7184,48.3,39.28
4145719,-3.5607,48.3,39.27
4146440,-4.7100,48.3,39.27
4147161,-3.6734,48.3,39.28
4147882,-3.4029,48.3,39.28
4148603,-4.3269,48.3,39.27
4149324,-4.2819,48.3,39.28
4150045,-3.3579,48.3,39.27
4150766,-3.6959,48.3,39.28
4151487,-3.2903,48.3,39.27
4152208,-4.8678,48.3,39.28
4152929,-4.0565,48.3,39.27
4153650,-4.0565,48.3,39.27
4154371,-4.0565,48.3,39.27
4155092,-4.0565,48.3,39.27
4155813,-4.0565,48.3,39.26
4156534,-4.0565,48.3,39.27
4157255,-4.0565,48.3,39.26
4157976,-4.0565,48.3,39.26
4158697,-4.0565,48.3,39.26
4159418,-4.0565,48.3,39.26
4160139,-4.0565,48.3,39.26
# [n=5700] mean=-6.1734 m  sigma=1.8089 m  die=48.3 C  CalVal=-38
4160860,-4.0565,48.3,39.26
4161581,-4.0565,48.3,39.26
4162302,-4.0565,48.3,39.25
4163023,-4.0565,48.3,39.25
4163744,-4.0565,48.3,39.25
4164465,-4.0565,48.3,39.25
4165186,-4.0565,47.3,39.25
4165907,-4.0565,47.3,39.25
4166628,-4.0565,48.3,39.24
4167349,-4.0565,48.3,39.24
4168070,-4.0565,48.3,39.24
4168791,-4.0565,48.3,39.24
4169512,-3.5832,48.3,39.23
4170233,-3.8987,48.3,39.23
4170954,-2.9297,48.3,39.23
4171675,-3.4029,48.3,39.23
4172396,-3.7184,48.3,39.22
4173117,-3.7861,48.3,39.22
4173838,-3.2903,48.3,39.21
4174559,-3.4255,48.3,39.21
4175280,-4.1692,48.3,39.21
4176001,-3.7635,48.3,39.20
4176722,-4.4396,48.3,39.20
4177443,-3.9213,48.3,39.20
4178164,-3.2227,48.3,39.19
4178885,-4.1692,48.3,39.19
4179606,-4.6424,48.3,39.18
4180327,-4.6424,48.3,39.18
4181048,-4.6424,48.3,39.18
4181769,-4.6424,48.3,39.17
4182490,-4.6424,48.3,39.17
4183211,-4.6424,48.3,39.17
4183932,-4.6424,48.3,39.16
4184653,-4.6424,48.3,39.16
4185374,-4.6424,48.3,39.15
4186095,-4.6424,48.3,39.15
4186816,-4.6424,48.3,39.15
4187537,-4.6424,48.3,39.14
4188258,-4.6424,48.3,39.13
4188979,-4.6424,48.3,39.13
4189700,-4.6424,48.3,39.13
4190421,-4.6424,48.3,39.12
4191142,-4.6424,48.3,39.12
4191863,-4.6424,48.3,39.11
4192584,-4.6424,48.3,39.11
4193305,-4.6424,48.3,39.11
4194026,-4.6424,48.3,39.10
4194747,-4.6424,48.3,39.09
4195468,-4.6424,48.3,39.09
4196189,-3.0424,48.3,39.09
4196910,-2.8846,48.3,39.08
4197631,-3.9438,48.3,39.08
4198352,-4.4171,48.3,39.07
4199073,-3.7861,47.3,39.07
4199794,-4.1917,48.3,39.06
4200515,-3.0424,48.3,39.06
4201236,-3.3353,48.3,39.05
4201957,-3.6959,48.3,39.05
4202678,-3.6508,47.3,39.04
4203399,-4.6199,47.3,39.03
4204120,-4.5072,48.3,39.03
4204841,-4.0114,48.3,39.02
4205562,-4.7776,48.3,39.02
4206283,-4.1241,48.3,39.01
4207004,-4.1241,48.3,39.00
4207725,-4.1241,48.3,39.00
4208446,-4.1241,48.3,38.99
4209167,-4.1241,48.3,38.99
4209888,-4.1241,47.3,38.98
4210609,-4.1241,47.3,38.97
4211330,-4.1241,47.3,38.97
4212051,-4.1241,48.3,38.96
4212772,-4.1241,48.3,38.95
4213493,-4.1241,48.3,38.95
4214214,-4.1241,48.3,38.94
4214935,-4.1241,47.3,38.93
4215656,-4.1241,47.3,38.92
4216377,-4.1241,47.3,38.92
4217098,-4.1241,47.3,38.91
4217819,-4.1241,47.3,38.90
4218540,-4.1241,47.3,38.90
4219261,-4.1241,48.3,38.89
4219982,-4.1241,48.3,38.88
4220703,-4.1241,47.3,38.88
4221424,-4.1241,48.3,38.86
4222145,-4.1241,48.3,38.86
4222866,-2.5691,48.3,38.85
4223587,-4.4171,48.3,38.84
4224308,-3.7410,47.3,38.84
4225029,-3.8311,47.3,38.84
4225750,-3.5832,47.3,38.83
4226471,-3.0198,48.3,38.82
4227192,-3.6058,48.3,38.81
4227913,-2.6142,48.3,38.80
4228634,-3.4255,48.3,38.79
4229355,-3.6058,47.3,38.78
4230076,-3.6283,47.3,38.78
4230797,-4.2368,47.3,38.77
4231518,-3.7410,47.3,38.76
4232239,-3.4480,48.3,38.76
# [n=5800] mean=-6.1369 m  sigma=1.8155 m  die=48.3 C  CalVal=-38
4232960,-3.5832,47.3,38.75
4233681,-3.5832,47.3,38.74
4234402,-3.5832,47.3,38.73
4235123,-3.5832,47.3,38.73
4235844,-3.5832,48.3,38.72
4236565,-3.5832,48.3,38.71
4237286,-3.5832,48.3,38.70
4238007,-3.5832,48.3,38.69
